2026-03-16 09:20:30 install libsepol2:arm64 <none> 3.4-2.1
2026-03-16 09:20:30 status half-installed libsepol2:arm64 3.4-2.1
2026-03-16 09:20:31 status unpacked libsepol2:arm64 3.4-2.1
2026-03-16 09:20:31 install libsmartcols1:arm64 <none> 2.38.1-5+deb12u3
2026-03-16 09:20:31 status half-installed libsmartcols1:arm64 2.38.1-5+deb12u3
2026-03-16 09:20:31 status unpacked libsmartcols1:arm64 2.38.1-5+deb12u3
2026-03-16 09:20:31 install libss2:arm64 <none> 1.47.0-2+b2
2026-03-16 09:20:31 status half-installed libss2:arm64 1.47.0-2+b2
2026-03-16 09:20:31 status unpacked libss2:arm64 1.47.0-2+b2
2026-03-16 09:20:31 install libstdc++6:arm64 <none> 12.2.0-14+deb12u1
2026-03-16 09:20:31 status half-installed libstdc++6:arm64 12.2.0-14+deb12u1
2026-03-16 09:20:31 status unpacked libstdc++6:arm64 12.2.0-14+deb12u1
2026-03-16 09:20:31 install libsystemd0:arm64 <none> 252.39-1~deb12u1
2026-03-16 09:20:31 status half-installed libsystemd0:arm64 252.39-1~deb12u1
2026-03-16 09:20:31 status unpacked libsystemd0:arm64 252.39-1~deb12u1
2026-03-16 09:20:32 install libtasn1-6:arm64 <none> 4.19.0-2+deb12u1
2026-03-16 09:20:32 status half-installed libtasn1-6:arm64 4.19.0-2+deb12u1
2026-03-16 09:20:32 status unpacked libtasn1-6:arm64 4.19.0-2+deb12u1
2026-03-16 09:20:32 install libtinfo6:arm64 <none> 6.4-4
2026-03-16 09:20:32 status half-installed libtinfo6:arm64 6.4-4
2026-03-16 09:20:32 status unpacked libtinfo6:arm64 6.4-4
2026-03-16 09:20:32 install libudev1:arm64 <none> 252.39-1~deb12u1
2026-03-16 09:20:32 status half-installed libudev1:arm64 252.39-1~deb12u1
2026-03-16 09:20:32 status unpacked libudev1:arm64 252.39-1~deb12u1
2026-03-16 09:20:32 install libunistring2:arm64 <none> 1.0-2
2026-03-16 09:20:32 status half-installed libunistring2:arm64 1.0-2
